RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,ELEVAT,NOBJNM,OBJNAM,VERACC,VERDAT,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
1769,3,2,69,1,550,175392382,1080,02260A74467E0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1770,3,2,69,1,550,175392394,1080,02260A74468A0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1771,3,2,69,1,550,175392420,1080,02260A7446A40438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1772,3,2,69,1,550,175392432,1080,02260A7446B00438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1773,3,2,69,1,550,175393678,1080,02260A744B8E0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1774,3,2,69,1,550,175393691,1080,02260A744B9B0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1775,3,2,69,1,550,175393705,1080,02260A744BA90438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1776,3,2,69,1,550,175393718,1080,02260A744BB60438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1777,3,2,69,1,550,175393733,1080,02260A744BC50438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1778,3,2,69,1,550,175393748,1080,02260A744BD40438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1779,3,2,69,1,550,175393761,1080,02260A744BE10438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1780,3,2,69,1,550,175393773,1080,02260A744BED0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1781,3,2,69,1,550,175393787,1080,02260A744BFB0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1782,3,2,69,1,550,175393960,1080,02260A744CA80438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1783,3,2,69,1,550,175393999,1080,02260A744CCF0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1784,3,2,69,1,550,175394012,1080,02260A744CDC0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1785,3,2,69,1,550,175394025,1080,02260A744CE90438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1786,3,2,69,1,550,175394038,1080,02260A744CF60438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1787,3,2,69,1,550,175394050,1080,02260A744D020438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1788,3,2,69,1,550,175394063,1080,02260A744D0F0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1789,3,2,69,1,550,175394076,1080,02260A744D1C0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1790,3,2,69,1,550,175393801,1080,02260A744C090438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1791,3,2,69,1,550,175393814,1080,02260A744C160438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1792,3,2,69,1,550,175393869,1080,02260A744C4D0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1793,3,2,69,1,550,175393972,1080,02260A744CB40438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1794,3,2,69,1,550,175393985,1080,02260A744CC10438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1795,3,2,69,1,550,175508687,1080,02260A760CCF0438,,,,,Nicks Lake,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1796,3,2,69,1,550,234470668,1133,02260DF9BD0C046D,,,,,Salt Lake,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1797,3,2,69,1,550,175393827,1080,02260A744C230438,,,,,Wolf Lake,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1798,3,2,69,1,550,175393881,1080,02260A744C590438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1799,3,2,69,1,550,175393907,1080,02260A744C730438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1800,3,2,69,1,550,175393920,1080,02260A744C800438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1801,3,2,69,1,550,175393932,1080,02260A744C8C0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
