RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATROD,CONDTN,NATCON,NOBJNM,OBJNAM,STATUS,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
2401,2,2,116,1,550,175406837,1080,02260A747EF50438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2402,2,2,116,1,550,175406851,1080,02260A747F030438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2403,2,2,116,1,550,175406863,1080,02260A747F0F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2404,2,2,116,1,550,175406877,1080,02260A747F1D0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2405,2,2,116,1,550,175406891,1080,02260A747F2B0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2406,2,2,116,1,550,175406931,1080,02260A747F530438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2407,2,2,116,1,550,175406945,1080,02260A747F610438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2408,2,2,116,1,550,175406986,1080,02260A747F8A0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2409,2,2,116,1,550,175406999,1080,02260A747F970438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2410,2,2,116,1,550,175407013,1080,02260A747FA50438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2411,2,2,116,1,550,175407040,1080,02260A747FC00438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2412,2,2,116,1,550,175407054,1080,02260A747FCE0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2413,2,2,116,1,550,175448196,1080,02260A7520840438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2414,2,2,116,1,550,175448227,1080,02260A7520A30438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2415,2,2,116,1,550,175448242,1080,02260A7520B20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2416,2,2,116,1,550,175448259,1080,02260A7520C30438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2417,2,2,116,1,550,175448852,1080,02260A7523140438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2418,2,2,116,1,550,175448866,1080,02260A7523220438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2419,2,2,116,1,550,175448881,1080,02260A7523310438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2420,2,2,116,1,550,175448914,1080,02260A7523520438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2421,2,2,116,1,550,175448929,1080,02260A7523610438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2422,2,2,116,1,550,234649751,1133,02260DFC7897046D,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2423,2,2,116,1,550,234649732,1133,02260DFC7884046D,,,,,,,36,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2424,2,2,116,1,550,234666232,1133,02260DFCB8F8046D,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2425,2,2,116,1,550,175416574,1080,02260A74A4FE0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2426,2,2,116,1,550,175421859,1080,02260A74B9A30438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2427,2,2,116,1,550,175421901,1080,02260A74B9CD0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2428,2,2,116,1,550,175421915,1080,02260A74B9DB0438,,,,,,,1495,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2429,2,2,116,1,550,175421974,1080,02260A74BA160438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2430,2,2,116,1,550,175421988,1080,02260A74BA240438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2431,2,2,116,1,550,175422002,1080,02260A74BA320438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2432,2,2,116,1,550,175422016,1080,02260A74BA400438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2433,2,2,116,1,550,175422029,1080,02260A74BA4D0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2434,2,2,116,1,550,175422057,1080,02260A74BA690438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2435,2,2,116,1,550,175422071,1080,02260A74BA770438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2436,2,2,116,1,550,175422085,1080,02260A74BA850438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2437,2,2,116,1,550,175422155,1080,02260A74BACB0438,,,,,,,1495,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2438,2,2,116,1,550,175422169,1080,02260A74BAD90438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2439,2,2,116,1,550,175422183,1080,02260A74BAE70438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2440,2,2,116,1,550,175422198,1080,02260A74BAF60438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2441,2,2,116,1,550,175422287,1080,02260A74BB4F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2442,2,2,116,1,550,175422316,1080,02260A74BB6C0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2443,2,2,116,1,550,175422330,1080,02260A74BB7A0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2444,2,2,116,1,550,175422492,1080,02260A74BC1C0438,,,,,,,,,Road on levee,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2445,2,2,116,1,550,175422614,1080,02260A74BC960438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2446,2,2,116,1,550,175422642,1080,02260A74BCB20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2447,2,2,116,1,550,175422686,1080,02260A74BCDE0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2448,2,2,116,1,550,175422871,1080,02260A74BD970438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2449,2,2,116,1,550,175422884,1080,02260A74BDA40438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2450,2,2,116,1,550,175422898,1080,02260A74BDB20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2451,2,2,116,1,550,175422926,1080,02260A74BDCE0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2452,2,2,116,1,550,175422969,1080,02260A74BDF90438,,,,,,,,,Road levee,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2453,2,2,116,1,550,175423014,1080,02260A74BE260438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2454,2,2,116,1,550,175423262,1080,02260A74BF1E0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2455,2,2,116,1,550,175424065,1080,02260A74C2410438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2456,2,2,116,1,550,175415893,1080,02260A74A2550438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2457,2,2,116,1,550,175415909,1080,02260A74A2650438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2458,2,2,116,1,550,175415923,1080,02260A74A2730438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2459,2,2,116,1,550,175415984,1080,02260A74A2B00438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2460,2,2,116,1,550,175416095,1080,02260A74A31F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2461,2,2,116,1,550,175416129,1080,02260A74A3410438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2462,2,2,116,1,550,175418377,1080,02260A74AC090438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2463,2,2,116,1,550,175418392,1080,02260A74AC180438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2464,2,2,116,1,550,175418407,1080,02260A74AC270438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2465,2,2,116,1,550,175421831,1080,02260A74B9870438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2466,2,2,116,1,550,175421845,1080,02260A74B9950438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2467,2,2,116,1,550,175422114,1080,02260A74BAA20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2468,2,2,116,1,550,175422128,1080,02260A74BAB00438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2469,2,2,116,1,550,175422142,1080,02260A74BABE0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2470,2,2,116,1,550,175422303,1080,02260A74BB5F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2471,2,2,116,1,550,175437507,1080,02260A74F6C30438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2472,2,2,116,1,550,175437523,1080,02260A74F6D30438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2473,2,2,116,1,550,175437539,1080,02260A74F6E30438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2474,2,2,116,1,550,175437555,1080,02260A74F6F30438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2475,2,2,116,1,550,175437570,1080,02260A74F7020438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2476,2,2,116,1,550,175437585,1080,02260A74F7110438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2477,2,2,116,1,550,175437600,1080,02260A74F7200438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2478,2,2,116,1,550,175437615,1080,02260A74F72F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2479,2,2,116,1,550,175437645,1080,02260A74F74D0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2480,2,2,116,1,550,175447900,1080,02260A751F5C0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2481,2,2,116,1,550,175447916,1080,02260A751F6C0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2482,2,2,116,1,550,175447931,1080,02260A751F7B0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2483,2,2,116,1,550,175447946,1080,02260A751F8A0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2484,2,2,116,1,550,175448339,1080,02260A7521130438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2485,2,2,116,1,550,175448355,1080,02260A7521230438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2486,2,2,116,1,550,175448370,1080,02260A7521320438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2487,2,2,116,1,550,175404424,1080,02260A7475880438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2488,2,2,116,1,550,175404437,1080,02260A7475950438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2489,2,2,116,1,550,175404463,1080,02260A7475AF0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2490,2,2,116,1,550,175404476,1080,02260A7475BC0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2491,2,2,116,1,550,175404489,1080,02260A7475C90438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2492,2,2,116,1,550,175404503,1080,02260A7475D70438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2493,2,2,116,1,550,175404517,1080,02260A7475E50438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2494,2,2,116,1,550,175404542,1080,02260A7475FE0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2495,2,2,116,1,550,175404555,1080,02260A74760B0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2496,2,2,116,1,550,175404568,1080,02260A7476180438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2497,2,2,116,1,550,175404593,1080,02260A7476310438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2498,2,2,116,1,550,175404606,1080,02260A74763E0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2499,2,2,116,1,550,175404632,1080,02260A7476580438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2500,2,2,116,1,550,175404645,1080,02260A7476650438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2501,2,2,116,1,550,175404684,1080,02260A74768C0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2502,2,2,116,1,550,175404737,1080,02260A7476C10438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2503,2,2,116,1,550,175404778,1080,02260A7476EA0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2504,2,2,116,1,550,175404805,1080,02260A7477050438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2505,2,2,116,1,550,175404818,1080,02260A7477120438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2506,2,2,116,1,550,175404831,1080,02260A74771F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2507,2,2,116,1,550,175404858,1080,02260A74773A0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2508,2,2,116,1,550,175404871,1080,02260A7477470438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2509,2,2,116,1,550,175404885,1080,02260A7477550438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2510,2,2,116,1,550,175404899,1080,02260A7477630438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2511,2,2,116,1,550,175404937,1080,02260A7477890438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2512,2,2,116,1,550,175404951,1080,02260A7477970438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2513,2,2,116,1,550,175404963,1080,02260A7477A30438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2514,2,2,116,1,550,175404977,1080,02260A7477B10438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2515,2,2,116,1,550,175404991,1080,02260A7477BF0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
