RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CONDTN,CONRAD,DATEND,DATSTA,HEIGHT,NATCON,VERACC,VERDAT,VERLEN,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
1652,2,2,49,1,550,175448430,1080,02260A75216E0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1653,2,2,49,1,550,175448446,1080,02260A75217E0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1654,2,2,49,1,550,175448462,1080,02260A75218E0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1655,2,2,49,1,550,175404658,1080,02260A7476720438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1656,2,2,49,1,550,175404924,1080,02260A74777C0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1657,2,2,49,1,550,175406317,1080,02260A747CED0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1658,2,2,49,1,550,175406918,1080,02260A747F460438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1659,2,2,49,1,550,175406959,1080,02260A747F6F0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1660,2,2,49,1,550,175407026,1080,02260A747FB20438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1661,2,2,49,1,550,175408100,1080,02260A7483E40438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1662,2,2,49,1,550,175408183,1080,02260A7484370438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1663,2,2,49,1,550,175414370,1080,02260A749C620438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1664,2,2,49,1,550,175415047,1080,02260A749F070438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1665,2,2,49,1,550,175415183,1080,02260A749F8F0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1666,2,2,49,1,550,175415210,1080,02260A749FAA0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1667,2,2,49,1,550,175416377,1080,02260A74A4390438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1668,2,2,49,1,550,175416787,1080,02260A74A5D30438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1669,2,2,49,1,550,175416828,1080,02260A74A5FC0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1670,2,2,49,1,550,175416926,1080,02260A74A65E0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1671,2,2,49,1,550,175416968,1080,02260A74A6880438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1672,2,2,49,1,550,175416982,1080,02260A74A6960438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1673,2,2,49,1,550,175417952,1080,02260A74AA600438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1674,2,2,49,1,550,175418125,1080,02260A74AB0D0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1675,2,2,49,1,550,175418557,1080,02260A74ACBD0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1676,2,2,49,1,550,175418627,1080,02260A74AD030438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1677,2,2,49,1,550,175420578,1080,02260A74B4A20438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1678,2,2,49,1,550,175420715,1080,02260A74B52B0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1679,2,2,49,1,550,175420830,1080,02260A74B59E0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1680,2,2,49,1,550,175421759,1080,02260A74B93F0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1681,2,2,49,1,550,175423389,1080,02260A74BF9D0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1682,2,2,49,1,550,175423448,1080,02260A74BFD80438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1683,2,2,49,1,550,175423677,1080,02260A74C0BD0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1684,2,2,49,1,550,175448569,1080,02260A7521F90438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1685,2,2,49,1,550,175448585,1080,02260A7522090438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1686,2,2,49,1,550,175448600,1080,02260A7522180438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1687,2,2,49,1,550,175448632,1080,02260A7522380438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1688,2,2,49,1,550,175448664,1080,02260A7522580438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1689,2,2,49,1,550,175448695,1080,02260A7522770438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1690,2,2,49,1,550,175412950,1080,02260A7496D60438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1691,2,2,49,1,550,175412993,1080,02260A7497010438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1692,2,2,49,1,550,175413922,1080,02260A749AA20438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1693,2,2,49,1,550,175413938,1080,02260A749AB20438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1694,2,2,49,1,550,175413957,1080,02260A749AC50438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1695,2,2,49,1,550,175413977,1080,02260A749AD90438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1696,2,2,49,1,550,175413998,1080,02260A749AEE0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1697,2,2,49,1,550,175414016,1080,02260A749B000438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1698,2,2,49,1,550,175416814,1080,02260A74A5EE0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1699,2,2,49,1,550,175416912,1080,02260A74A6500438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1700,2,2,49,1,550,175416995,1080,02260A74A6A30438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1701,2,2,49,1,550,175417009,1080,02260A74A6B10438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1702,2,2,49,1,550,175417023,1080,02260A74A6BF0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1703,2,2,49,1,550,175417737,1080,02260A74A9890438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1704,2,2,49,1,550,175417751,1080,02260A74A9970438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1705,2,2,49,1,550,175437012,1080,02260A74F4D40438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1706,2,2,49,1,550,175437151,1080,02260A74F55F0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1707,2,2,49,1,550,175437231,1080,02260A74F5AF0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1708,2,2,49,1,550,175437245,1080,02260A74F5BD0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1709,2,2,49,1,550,175437447,1080,02260A74F6870438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1710,2,2,49,1,550,175437706,1080,02260A74F78A0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1711,2,2,49,1,550,175438971,1080,02260A74FC7B0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1712,2,2,49,1,550,175443135,1080,02260A750CBF0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1713,2,2,49,1,550,175443150,1080,02260A750CCE0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1714,2,2,49,1,550,175443165,1080,02260A750CDD0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
