RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,BURDEP,CATPIP,CONDTN,DATEND,DATSTA,DRVAL1,DRVAL2,NOBJNM,OBJNAM,PRODCT,STATUS,VERACC,VERLEN,VERDAT,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
2196,2,2,94,1,550,175433807,1080,02260A74E84F0438,,,,,,,,,,,,,,,,,,,,,260000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
2197,2,2,94,1,550,175426039,1080,02260A74C9F70438,,,,,,,,,,,,,,,,,,,,,260000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
