RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATSLC,COLOUR,COLPAT,CONDTN,CONRAD,CONVIS,DATEND,DATSTA,HEIGHT,HORACC,HORCLR,HORLEN,HORWID,NATCON,NOBJNM,OBJNAM,STATUS,VERACC,VERDAT,VERLEN,WATLEV,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
3240,2,2,122,1,550,175422273,1080,02260A74BB410438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3241,2,2,122,1,550,175422360,1080,02260A74BB980438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3242,2,2,122,1,550,175422389,1080,02260A74BBB50438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3243,2,2,122,1,550,175422528,1080,02260A74BC400438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3244,2,2,122,1,550,175423028,1080,02260A74BE340438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3245,3,2,122,1,550,175374795,1080,02260A7401CB0438,,,4,,,2,,,,,,,,,,,,,,,,,3,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
3246,2,2,122,1,550,175412796,1080,02260A74963C0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3247,2,2,122,1,550,175416113,1080,02260A74A3310438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3248,2,2,122,1,550,175417807,1080,02260A74A9CF0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3249,2,2,122,1,550,175418436,1080,02260A74AC440438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3250,2,2,122,1,550,175420875,1080,02260A74B5CB0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3251,2,2,122,1,550,175422345,1080,02260A74BB890438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3252,2,2,122,1,550,175447791,1080,02260A751EEF0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3253,2,2,122,1,550,175447837,1080,02260A751F1D0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3254,2,2,122,1,550,175447871,1080,02260A751F3F0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
