RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATFOG,DATEND,DATSTA,NOBJNM,OBJNAM,SIGFRQ,SIGGEN,SIGGRP,SIGPER,SIGSEQ,STATUS,VALMXR,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
92,1,2,58,1,550,175369836,1080,02260A73EE6C0438,,,9,,,,,,,,,,1,,,,,,150000,,,,19840801,"US,US,reprt,8thCGD,LNM 33/84"
99,1,2,58,1,550,175369862,1080,02260A73EE860438,,,7,,,,,,,,,,1,,,,,,150000,,,,19920609,"US,US,reprt,8thCGD,LNM 24/92"
