RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATCBL,DATEND,DATSTA,NOBJNM,OBJNAM,RESTRN,STATUS,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
221,3,2,20,1,550,175371917,1080,02260A73F68D0438,,,,,,,,,,,,,,350000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
222,3,2,20,1,550,175452299,1118,02260A75308B045E,,,,,,,,,1,,,,,350000,USCAU06A.TXT,,,19980228,"US,US,reprt,L-1048/00"
