RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,DRVAL1,DRVAL2,QUASOU,SOUACC,VERDAT,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
523,2,2,42,1,550,115117072,1287,022606DC8C100507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
524,2,2,42,1,550,115117075,1287,022606DC8C130507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
525,2,2,42,1,550,115117078,1287,022606DC8C160507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
526,2,2,42,1,550,115117081,1287,022606DC8C190507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
527,2,2,42,1,550,115117084,1287,022606DC8C1C0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
528,2,2,42,1,550,115117087,1287,022606DC8C1F0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
529,2,2,42,1,550,115117091,1287,022606DC8C230507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
530,2,2,42,1,550,115117094,1287,022606DC8C260507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
531,2,2,42,1,550,115117098,1287,022606DC8C2A0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
532,2,2,42,1,550,115117107,1287,022606DC8C330507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
533,2,2,42,1,550,115117115,1287,022606DC8C3B0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
534,2,2,42,1,550,115117118,1287,022606DC8C3E0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
535,2,2,42,1,550,115117121,1287,022606DC8C410507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
536,2,2,42,1,550,115117125,1287,022606DC8C450507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
537,2,2,42,1,550,115117129,1287,022606DC8C490507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
538,2,2,42,1,550,115117134,1287,022606DC8C4E0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
539,2,2,42,1,550,115117137,1287,022606DC8C510507,,,0.91,3.65,,,,,,,,45000,,,,,"US,US"
540,2,2,42,1,550,115117140,1287,022606DC8C540507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
541,2,2,42,1,550,115117143,1287,022606DC8C570507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
542,2,2,42,1,550,115117147,1287,022606DC8C5B0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
