RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATDIS,DATEND,DATSTA,NOBJNM,OBJNAM,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
1550,1,2,44,1,550,175457560,1080,02260A7545180438,,,1,,,,,405,,,,120000,,,,19990529,"US,US,graph,chart 11322"
1551,1,2,44,1,550,175453879,1080,02260A7536B70438,,,1,,,,,400,,,,120000,,,,19990529,"US,US,graph,chart 11322"
1552,1,2,44,1,550,175458546,1080,02260A7548F20438,,,1,,,,,395,,,,120000,,,,19990529,"US,US,graph,chart 11322"
1553,1,2,44,1,550,175461759,1080,02260A75557F0438,,,1,,,,,390,,,,120000,,,,19990529,"US,US,graph,chart 11322"
