RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,NOBJNM,OBJNAM,INFORM,NINFOM,NTXTDS,PICREP,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
67,255,2,400,1,550,234006620,1132,02260DF2A85C046C,"(4:02260A74FD520438,02260A74FD410438,02260A73ECB60438,02260A73ECC30438)","(4:3,3,3,3)",,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
82,255,2,400,1,550,234175525,1132,02260DF53C25046C,"(4:02260DF31661046C,02260A7520E30438,02260A73ED040438,02260A73ED0F0438)","(4:3,3,3,3)",,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
