RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATTRK,DATEND,DATSTA,DRVAL1,DRVAL2,NOBJNM,OBJNAM,ORIENT,PEREND,PERSTA,QUASOU,SOUACC,STATUS,TECSOU,TRAFIC,VERDAT,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
57,2,2,109,1,550,175439169,1080,02260A74FD410438,,,1,,,,,,,317.52,,,,,,,4,,,,,,1500000,,,,19990529,"US,US,graph,chart 11322"
75,2,2,109,1,550,175448291,1080,02260A7520E30438,,,1,,,,,,,83.2,,,,,,,4,,,,,,1500000,,,,19990529,"US,US,graph,chart 11322"
