RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATNAV,DATEND,DATSTA,ORIENT,PEREND,PERSTA,STATUS,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
56,2,2,85,1,550,175439186,1080,02260A74FD520438,,,3,,,317.52,,,1,,,,,260000,,,,19930413,"US,US,reprt,7thCGD,LNM 15/93"
74,2,2,85,1,550,234034785,1132,02260DF31661046C,,,3,,,83.2,,,1,,,,,260000,,,,19970802,"US,US,graph,chart 11322"
