RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATPRA,CONDTN,CONRAD,CONVIS,DATEND,DATSTA,ELEVAT,HEIGHT,NOBJNM,OBJNAM,PRODCT,STATUS,VERACC,VERDAT,VERLEN,INFORM,NINFOM,NTXTDS,PICREP,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
2198,1,2,97,1,550,175489573,1080,02260A75C2250438,,,7,,,,,,,,,,,,,,,Chemical Plant,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2199,1,2,97,1,550,175489591,1080,02260A75C2370438,,,7,,,,,,,,,,,,,,,Chemical Plant,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
