RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATCOV,INFORM,NINFOM,RECDAT,RECIND,SORDAT,SORIND
2039,3,2,302,1,550,235853877,1132,02260E0ED835046C,,,1,,,,,19990529,"US,US,graph,chart 11322"
2040,3,2,302,1,550,114474922,1246,022606D2BFAA04DE,,,2,,,,,19990529,"US,US,graph,chart 11322"
